timestamp,open,high,low,close,volume
2012-08-31,16.0400,19.5900,15.3200,19.0800,96753100
2012-07-31,18.4400,18.6900,15.4699,16.0200,46284500
2012-06-29,18.7700,19.7800,17.1000,18.3600,74843800
2012-05-31,22.7600,23.0800,18.1300,19.1800,88640900
2012-04-30,21.7400,22.7899,20.9400,22.7600,61816700
2012-03-30,22.8900,25.7700,21.8200,21.8400,90649100
2012-02-29,23.4400,25.8600,22.5400,22.7800,70872800
2012-01-31,24.4300,25.2800,22.6500,23.3600,70002400
2011-12-30,23.1000,24.7500,22.6400,24.1300,51209300
2011-11-30,24.9000,25.8900,21.4600,23.1200,85591700
2011-10-31,23.0000,26.6600,22.1600,25.5700,78771400
2011-09-30,23.8400,25.0800,21.5700,23.1000,65597900
2011-08-31,23.8100,24.0500,18.3400,23.9300,117255700
2011-07-29,26.7100,27.8000,23.0100,23.5800,82272800
2011-06-30,27.9200,28.0200,25.6500,26.6700,67526500
2011-05-31,26.1600,28.6600,24.5500,27.9800,89401800
2011-04-29,22.6800,26.9400,22.4700,25.6800,119277200
2011-03-31,19.9500,22.7800,19.4200,22.5200,94092400
2011-02-28,21.1400,21.1800,19.1900,19.9500,84658400
2011-01-31,23.0700,23.2300,20.1100,21.0700,81436400
2010-12-31,20.2200,23.0000,19.9000,22.8800,64276500
2010-11-30,19.7400,22.1250,19.1600,19.9200,84034300
2010-10-29,19.9500,20.5900,17.9300,19.6500,78850400
2010-09-30,18.1600,20.2000,18.0580,19.7100,63058600
2010-08-31,20.2300,21.4900,17.7000,17.9300,79411600
2010-07-30,18.6800,21.0100,18.2350,20.0500,80463300
2010-06-30,22.6000,22.7350,17.9600,18.7900,133108000
2010-05-28,24.6000,25.3100,20.2800,22.7900,119173400
2010-04-30,21.9200,25.7500,21.9200,24.3100,119830300
2010-03-31,17.2900,22.3000,17.2600,21.9100,138009700
2010-02-26,19.9800,20.5700,17.1200,17.2000,97160600
2010-01-29,22.0700,24.1000,19.4200,19.7700,143147300
2009-12-31,24.6400,24.8100,20.6900,21.9400,117543700
2009-11-30,24.4500,26.0500,23.4400,24.4100,88140000
2009-10-30,26.5400,28.6200,23.9100,24.2900,111410000
2009-09-30,23.6500,27.3200,22.9400,26.4700,84926400
2009-08-31,22.0400,26.6600,22.0400,23.8000,135099000
2009-07-31,22.2600,24.2500,20.0200,21.8900,99293500
2009-06-30,25.1700,26.5000,20.4400,22.0100,106751300
2009-05-29,30.1000,30.2900,21.8500,24.9500,120681100
2009-04-30,28.5400,32.8200,27.5400,30.1600,84795600
2009-03-31,26.3500,28.9600,21.8100,28.0200,109804900
2009-02-27,24.5100,29.0800,24.2500,26.9200,65323200
2009-01-30,21.7300,28.2300,21.0400,24.7800,79254000
2008-12-31,21.6500,26.5100,18.0100,21.6600,66298400
2008-11-28,27.7800,28.0000,16.9100,21.8500,64030600
2008-10-31,33.8700,38.4200,24.0900,27.3900,79530400
2008-09-30,44.3400,46.3600,32.8000,34.2100,74523900
2008-08-29,40.8900,47.6900,38.8200,43.8700,63896100
2008-07-31,40.0500,45.7900,37.6200,40.5100,73120400
2008-06-30,49.4200,49.8600,40.2700,40.4000,83818300
2008-05-30,55.2500,57.2000,44.1100,49.6000,77361600
2008-04-30,53.2440,59.1300,52.7300,55.0400,54346600
2008-03-31,42.4700,54.7500,40.7800,51.7100,71329600
2008-02-29,51.7800,54.9900,42.2700,42.3600,62851000
2008-01-31,62.2600,62.2900,44.7600,51.5600,87330600
2007-12-31,58.0000,63.7700,56.1100,62.1100,71761300
2007-11-30,58.7500,60.5000,47.4600,57.4500,69163600
2007-10-31,56.7300,60.8000,53.2500,59.2200,50091100
2007-09-28,50.5000,59.2300,47.4500,56.3500,50007900
2007-08-31,40.2300,50.5200,37.4000,50.1400,68565400
2007-07-31,39.1600,44.0000,39.1100,40.3500,37596600
2007-06-29,37.1400,41.1700,36.2100,39.1000,41614000
2007-05-31,33.4000,37.8700,32.3100,36.9800,58997000
2007-04-30,32.6500,35.8500,32.5700,33.1700,34142500
2007-03-30,51.3000,54.9700,26.7200,32.5700,37230600
2007-02-28,53.6800,56.1700,51.1000,52.3800,18231400
2007-01-31,55.1100,58.4108,51.1100,53.4300,25304300
2006-12-29,55.9000,58.4200,53.8800,55.1100,19224900
2006-11-30,51.2000,57.1900,49.0100,56.0500,34084800
2006-10-31,46.7000,52.7300,45.6400,51.0600,24460000
2006-09-29,43.7800,49.7490,42.4200,46.2800,31091200
2006-08-31,41.5000,47.3000,40.0900,43.6800,31637600
2006-07-31,40.4700,42.5200,36.1500,41.6100,27675700
2006-06-30,42.9400,44.4000,35.8700,42.0000,36112300
